family,language,dialect,n_consonants,n_sibilants,n_loci,sibilants,fonational contrast,palatalization,ejectives,labialization,aspiration contrast,reference,comment,lat,long
Chukotko-Kamchatkan,Chukchi,,14,1,1,tʃ/ʃ/s/sʲ/tsʲ,no,no,no,no,no,Dunn 1999; Форт2005: 7,,68.64356,170.04503
Chukotko-Kamchatkan,Koryak,,17,1,1,tʃ,no,no,no,no,no,Жукова 1972: 10,,63.89771,166.69474
Chukotko-Kamchatkan,Alutor,,18,1,1,s/sʲ/tsʲ,no,no,no,no,no,ВолодинЯМ:14-15; Муравьева 1979: 43,,60.38443,165.65285
Chukotko-Kamchatkan,Kerek,,13,1,1,tʃ/s,no,no,no,no,no,ВолодинЯМ:14-15,,62.17769,175.06969
Chukotko-Kamchatkan,Itelmen,Napana,25,4,2,"tʃ, tʃ’, s, z",yes,no,yes,no,no,ВолодинЯМ: 62,,56.77984,156.90623
Chukotko-Kamchatkan,Itelmen,Khajruzovo,27,6,2,"tʃ, tʃ’, s, z, ʃ, ʒ",yes,no,yes,no,no,Мудрак 2000: 9,,56.77984,156.90623
Eskimo-Aleut,Central Siberian Yupik,Chaplino,21,3,2,"s, z, ʃ",yes,no,no,no,no,МеновщиковЯМ: 76,,63.43083,189.72834
Eskimo-Aleut,Naukan Yupik,,21,3,2,"s, z, ʃ",yes,no,no,no,no,МеновщиковЯМ: 76,,65.51842,188.2446
Eskimo-Aleut,Sirenik Yupik,,21,4,2,"s, z, ʃ, tʃ",yes,no,no,no,no,МеновщиковЯМ: 81,,64.5192,186.075
Abkhaz-Adyge,Abaza,Tapanta,59,20,2,"z, s, dz, ts, ts’; ʒ, ʃ, dʒ, tʃ, tʃ’; ʒʷ, ʃʷ, dʒʷ, tʃʷ, tʃʷ’; ʑ, ɕ, dʑ, tɕ, tɕ’",yes,yes,yes,yes,no,Chirikba 1996: 26-27,standard literary abaza,44.34722,41.77861
Abkhaz-Adyge,Abaza,Ashkaraua,60,23,3,"z, s, dz, ts, ts’; zʷ, sʷ, dzʷ, tsʷ, tsʷ’; ʒ, ʃ, dʒ, tʃ, tʃ’; ʒʷ, ʃʷ; ʑ, ɕ, dʑ, tɕ, tɕ’",yes,yes,yes,yes,no,Chirikba 1996: 24-25,,44.4498344,41.7879221
Abkhaz-Adyge,Adyghe,Bzhedukh,65,29,3,"z, s, dz, tsʰ, ts, ts’; ẑ, ŝ, ŝ’; dẑʷ, tŝʷʰ, tŝʷ, ẑʷ, ŝʷ, ŝʷ’; ʒ, ʃʰ, ʃ, dʒ, tʃʰ, tʃ, tʃ’; ʑ, ɕʰ, ɕ, dʑ, tɕʰ, tɕ, tɕ’",yes,yes,yes,yes,yes,Chirikba 1996: 42-43,латералы есть! Глухой звонкий и звонкий абруптив,44.86667,39.28333
Abkhaz-Adyge,Adyghe,Shapsug,62,23,3,"z, s, s’, dz, tsʰ, ts, ts’; ẑ, ŝ, ŝ’; dẑʷ, tŝʷʰ, tŝʷ, ẑʷ, ŝʷ, ŝʷ’; ʒ, ʃʰ, ʃ’, dʒ, tʃʰ, tʃ, tʃ’",yes,no,yes,yes,yes,Chirikba 1996: 43-44,Hakutsw,44.18472,39.50098
Abkhaz-Adyge,Adyghe,Temirgoj,55,23,3,"z, s, dz, ts, ts’; ẑ, ŝ, ŝ’; dẑʷ, tŝʷ, ẑʷ, ŝʷ, ŝʷ’; ʒ, ʃ, dʒ, tʃ, tʃ’; ʑ, ɕ, dʑ, tɕ, tɕ’",yes,yes,yes,yes,no,Chirikba 1996: 44-45,,45.08389,39.86139
Abkhaz-Adyge,Adyghe,Abadzex,52,20,3,"z, s, dz, ts, ts’; ẑ, ŝ, ŝ’; dẑʷ, tŝʷ, ẑʷ, ŝʷ, ŝʷ’; ʒ, ʃ; ʑ, ɕ, dʑ, tɕ, tɕ’",yes,yes,yes,yes,no,Chirikba 1996: 46,,45.02,40.23
Abkhaz-Adyge,Kabardian,Beslenej,52,17,3,"z, s, dz, ts, ts’; ẑ, ŝ; ʒ, ʃ, dʒ, tʃ, tʃ’; ʑ, ɕ, dʑ, tɕ, tɕ’",yes,yes,yes,no,no,Chirikba 1996: 48,,44.24611,41.74139
Abkhaz-Adyge,Kabardian,Standard,47,13,3,"z, s, dz, ts, ts’; ẑ, ŝ, ŝ’; ʒ, ʃ, dʒ, tʃ, tʃ’",yes,no,yes,no,no,Chirikba 1996: 49,,43.50822,43.39182
